,10 Hz,20 Hz,40 Hz,100 Hz
area95_EC,0.614808164022277,0.6150723207206041,0.6145990539281714,0.6143682724401697
area95_EO,0.49398642906418433,0.4942625749131221,0.49434157128153866,0.49441478905614816
swayarea_EC,0.7095803678049721,0.7145780731399646,0.7165144904472397,0.716743682606274
swayarea_EO,0.3027643722398883,0.29379021879257605,0.29592292663300734,0.29566386430891095
area95_majoraxis_angle_EC,-0.12846071458695843,-0.12935561105040083,-0.12840195571135382,-0.12782069810879523
area95_majoraxis_angle_EO,-0.7436183669248677,-0.7439161886853656,-0.7447439305596851,-0.7451547366699394
area95_majoraxis_length_EC,0.7552448132478115,0.7558194801027123,0.7550929107916599,0.7547334226623578
area95_majoraxis_length_EO,0.5179680237158459,0.5185140642692394,0.5184829317390865,0.5185085819731049
pathlength_EC,0.9005582430930412,0.9649480724967134,0.9405289814706336,0.9352189910902322
pathlength_EO,0.23719972171457426,0.2500432900866574,0.22921647170875145,0.2240310696857244
pathlength_ML_EC,1.066568233289627,1.1147532300688188,1.1346010745400688,1.138260517070619
pathlength_ML_EO,0.3014544178214003,0.336970447986294,0.3451721159918519,0.34698432733559426
pathlength_AP_EC,0.7405156665296777,0.8050213640779996,0.7698490050803867,0.7634765983321897
pathlength_AP_EO,0.17873909265556306,0.18939015292711986,0.157056825538022,0.14936594168898235
rms_displacement_EC,0.7794263747188631,0.7801990971803543,0.7794899878842798,0.7791392610636015
rms_displacement_EO,0.5570352298888192,0.5575803032429605,0.5577103278119782,0.5578105241503647
rms_displacement_ML_EC,0.5033299882041546,0.5035353670101462,0.5032695267290623,0.5031433326682945
rms_displacement_ML_EO,0.5787691784565073,0.5788650861038478,0.578739619205014,0.5786960579758634
rms_displacement_AP_EC,1.1085247144672923,1.1118560145261387,1.1112959049332667,1.1110911612666778
rms_displacement_AP_EO,0.4544982738478936,0.45521938082194935,0.45558015384095696,0.4558083741124847
avg_displacement_EC,0.7599558887279763,0.7604731012351365,0.7598322741138058,0.7595175793490896
avg_displacement_EO,0.5873495199943625,0.5876571965844103,0.587804219964514,0.5879073931197416
avg_displacement_ML_EC,0.0056225825060897345,0.00206046633733299,0.0007126416752181793,-0.00029679079104774734
avg_displacement_ML_EO,-0.013617141406899114,-0.012340551620474463,-0.011391469871364796,-0.01171879477853821
avg_displacement_AP_EC,0.20484159822440964,0.24843883017630852,0.25357709022033675,0.2531842545078811
avg_displacement_AP_EO,0.16490436776876446,0.18055058413529446,0.1820134793249684,0.18130076376130325
displacement_range_ML_EC,0.590819507264329,0.5918491156446859,0.5925940573675186,0.5928891936809743
displacement_range_ML_EO,0.46677252807432656,0.46529652052016995,0.46550747982209,0.46578198486412975
displacement_range_AP_EC,1.0803921215026742,1.1048246789178333,1.1073090163091064,1.107975711974922
displacement_range_AP_EO,0.08107502758560275,0.07756881564765249,0.07806928397628822,0.07804434651469615
peak_displacement_ML_EC,0.5825191897150517,0.5827241345491818,0.5824855747499271,0.5826952770108018
peak_displacement_ML_EO,0.4364017972835774,0.4370637579775352,0.43674399042661105,0.43689056907092366
peak_displacement_AP_EC,1.1562723282335083,1.1705412479214585,1.176291720776404,1.1763689534217063
peak_displacement_AP_EO,0.03302354224803158,0.029228818191502113,0.027808983364927913,0.02756217138083875
peak_displacement_forward_EC,0.9999637055184675,1.022787276607853,1.0269874230252303,1.02719338804074
peak_displacement_forward_EO,0.15528982166271554,0.14810385158960873,0.15006970130869235,0.15034025130983278
peak_displacement_backward_EC,1.0623918833733672,1.088260880194888,1.0881018824150068,1.0890123838994201
peak_displacement_backward_EO,0.011845965312422609,0.01203348731669466,0.011752883868413892,0.011526044382943218
peak_displacement_left_EC,0.7230789510968338,0.7221721860905239,0.7245670438300849,0.7247492265476142
peak_displacement_left_EO,0.5312578636654608,0.5287625973757988,0.5291654839871143,0.5289900825145669
peak_displacement_right_EC,0.4564572440232599,0.45909251505419263,0.45868382490126763,0.45890268388524785
peak_displacement_right_EO,0.4091802061393624,0.40834516375811686,0.40840916637326574,0.4089500826113884
direction_index_ML_EC,0.5730402178564841,0.5454284692162068,0.6576723599134369,0.6661497532293155
direction_index_ML_EO,0.3899127422696252,0.40006004466928236,0.4880376406115188,0.501753741250824
direction_index_AP_EC,-0.56607686680793,-0.51990797418662,-0.6316590343537228,-0.6379227682707619
direction_index_AP_EO,-0.37530136866231967,-0.3472284334922513,-0.427741992237477,-0.4381980351318827
swayratio_ML_EC,0.10532053118692945,0.15544328537997965,0.16578998305740567,0.16252070333254395
swayratio_ML_EO,-0.3080956158223475,-0.24447785235362002,-0.24117206854217976,-0.24594729315016936
swayratio_AP_EC,0.24943181352198532,0.3265223666093151,0.2763354073170213,0.26660358982989024
swayratio_AP_EO,-0.16586381482384696,-0.13752615573803703,-0.1896460348643208,-0.20076789858748048
swaymovement_ML_EC,-0.2258019107729545,-0.22474045366151565,-0.22423964915149486,-0.22394491004543596
swaymovement_ML_EO,-0.03816489941742266,-0.03804674302518525,-0.037979259466234705,-0.03793712568483271
swaymovement_AP_EC,0.02730606792119045,0.02614487438436416,0.025690065523649698,0.0254317335088814
swaymovement_AP_EO,-0.21232230369773578,-0.21250019767942124,-0.21255569275645614,-0.21258386404020765
surfacelength_ratio_EC,-0.390285267552038,-0.24253157821387,-0.27195424535965607,-0.27905974729198013
surfacelength_ratio_EO,-0.6631450671849429,-0.6330684502949954,-0.6652619883737249,-0.6727231272567158
phaseplaneparameter_EC,0.9900913733927932,1.0432659748834274,1.0278729688319894,1.02401221829597
