,10 Hz,20 Hz,40 Hz,100 Hz
peak_displacement_left_EC,0.7555555555555555,0.7044444444444444,0.7000000000000001,0.7044444444444445
peak_displacement_left_EO,0.4555555555555556,0.4933333333333333,0.48888888888888893,0.4866666666666667
peak_displacement_right_EC,0.7200000000000001,0.7022222222222223,0.7022222222222223,0.7044444444444445
peak_displacement_right_EO,0.5466666666666667,0.5333333333333333,0.5177777777777778,0.5266666666666666
direction_index_ML_EC,0.5866666666666668,0.48666666666666664,0.6311111111111113,0.6422222222222224
direction_index_ML_EO,0.6333333333333334,0.7,0.7066666666666668,0.7377777777777779
direction_index_AP_EC,0.6333333333333334,0.6177777777777779,0.6400000000000001,0.6555555555555557
direction_index_AP_EO,0.611111111111111,0.6,0.6088888888888889,0.6155555555555555
swayratio_ML_EC,0.49555555555555564,0.5244444444444444,0.4888888888888888,0.5022222222222222
swayratio_ML_EO,0.5688888888888889,0.5,0.5155555555555557,0.4666666666666667
swayratio_AP_EC,0.7777777777777777,0.7711111111111111,0.8222222222222223,0.7311111111111112
swayratio_AP_EO,0.4022222222222222,0.4622222222222222,0.4666666666666667,0.49111111111111116
swaymovement_ML_EC,0.6022222222222221,0.6066666666666666,0.5955555555555555,0.591111111111111
swaymovement_ML_EO,0.3488888888888889,0.3488888888888889,0.3488888888888889,0.34444444444444444
swaymovement_AP_EC,0.47777777777777775,0.4955555555555556,0.5311111111111111,0.5311111111111111
swaymovement_AP_EO,0.5511111111111112,0.5422222222222224,0.5333333333333334,0.5333333333333334
surfacelength_ratio_EC,0.5733333333333334,0.571111111111111,0.6644444444444444,0.6222222222222222
surfacelength_ratio_EO,0.5399999999999999,0.5622222222222222,0.6244444444444446,0.6266666666666667
phaseplaneparameter_EC,0.7288888888888889,0.7000000000000001,0.68,0.6888888888888889
phaseplaneparameter_EO,0.4888888888888888,0.4377777777777778,0.4288888888888889,0.4000000000000001
peak_velocity_forward_EC,0.7933333333333334,0.7666666666666667,0.7844444444444444,0.7622222222222222
peak_velocity_forward_EO,0.42666666666666664,0.4822222222222223,0.5333333333333334,0.4488888888888889
